y,x
177,1118
177,1119
177,1120
177,1121
177,1122
177,1123
177,1124
177,1125
178,1118
178,1119
178,1120
178,1121
178,1122
178,1123
178,1124
178,1125
178,1126
179,1118
179,1119
179,1120
179,1121
179,1122
179,1123
179,1124
179,1125
179,1126
179,1127
180,1122
180,1123
180,1124
180,1125
180,1126
180,1127
181,1096
181,1097
181,1098
181,1099
181,1100
181,1101
181,1127
181,1128
181,1129
181,1130
181,1131
182,1095
182,1129
182,1130
182,1131
184,1093
184,1094
185,1086
185,1087
185,1088
185,1089
185,1090
185,1091
185,1092
185,1093
185,1094
185,1095
186,1084
186,1085
186,1086
186,1087
186,1088
186,1089
186,1090
186,1095
187,1079
187,1080
187,1081
187,1082
187,1083
187,1084
187,1085
187,1086
187,1087
187,1088
188,1077
188,1078
188,1079
188,1080
188,1081
188,1082
188,1083
188,1084
188,1085
188,1086
188,1087
189,1076
189,1077
189,1078
189,1079
189,1080
190,1074
190,1075
190,1076
190,1077
190,1078
191,1072
191,1073
191,1074
191,1075
191,1076
192,1072
192,1073
192,1074
192,1075
193,1069
193,1070
193,1071
193,1072
193,1073
193,1074
193,1075
194,1069
194,1070
194,1071
194,1072
194,1073
194,1074
195,1070
195,1071
195,1073
195,1074
196,1074
221,70
221,81
221,82
222,68
222,69
222,77
222,82
222,83
222,84
222,95
222,1016
223,63
223,68
223,69
223,70
223,82
223,83
223,85
223,86
223,88
223,89
223,90
223,91
223,1014
224,52
224,53
224,54
224,55
224,56
224,57
224,58
224,59
224,60
224,61
224,68
224,84
224,85
224,86
224,102
224,103
225,53
225,54
225,55
225,57
225,60
225,61
225,62
225,63
225,87
225,88
225,89
225,90
225,91
225,92
225,93
225,100
225,104
225,1012
226,56
226,57
226,58
226,102
226,104
226,108
226,109
226,1011
227,111
227,112
227,1009
227,1010
227,1011
228,104
228,113
228,114
228,115
228,116
228,117
228,118
228,119
228,121
228,1009
228,1010
229,115
229,116
229,117
229,118
229,119
229,120
229,121
229,122
229,123
229,124
229,1007
229,1008
229,1009
230,124
230,125
230,1003
230,1004
230,1005
230,1006
230,1007
231,125
231,126
231,1002
231,1003
231,1004
231,1005
231,1006
231,1007
232,1000
232,1001
232,1002
232,1003
232,1004
232,1005
232,1006
233,1000
233,1001
233,1002
233,1004
233,1005
234,6
234,7
234,8
234,10
234,31
234,32
234,33
234,34
234,35
234,37
234,38
235,5
235,6
235,8
235,9
235,10
235,25
235,26
235,27
235,28
235,29
235,30
235,31
235,32
235,33
235,34
235,35
235,36
235,37
235,38
235,39
235,40
236,5
236,11
236,12
236,13
236,14
236,15
236,16
236,17
236,18
236,19
236,20
236,21
236,22
236,28
236,29
236,30
236,31
236,32
236,33
236,34
236,35
236,36
236,37
236,38
236,39
237,5
237,11
237,25
237,26
237,27
237,33
237,34
237,999
237,1000
237,1001
238,12
238,13
238,14
238,15
238,18
238,19
238,20
238,21
238,22
238,999
238,1000
242,129
243,131
244,134
245,135
245,136
245,137
246,137
246,138
246,139
246,140
246,141
247,141
247,142
247,143
247,144
249,148
249,149
249,150
249,151
249,152
249,153
250,152
250,153
251,155
251,156
251,157
251,158
252,155
252,156
252,158
252,159
253,157
253,158
254,161
254,162
254,164
254,165
255,163
255,164
255,165
255,166
256,166
256,167
256,171
256,172
256,174
257,168
257,169
257,170
257,171
257,172
257,177
257,178
258,174
258,179
259,180
260,181
260,188
261,191
261,192
261,194
261,195
261,196
262,190
262,199
263,192
263,193
263,194
263,195
263,199
263,200
264,199
264,200
264,202
264,203
264,204
264,205
264,984
264,985
264,986
265,200
265,206
265,207
265,208
265,977
265,978
265,979
265,980
265,981
265,982
265,983
265,984
265,985
266,211
266,977
266,978
266,979
266,980
266,981
266,982
266,983
267,209
267,212
267,216
267,217
267,218
267,219
267,978
267,979
267,980
267,981
267,982
268,212
268,221
268,223
268,972
268,973
269,216
269,218
269,973
269,974
270,222
271,967
271,968
271,969
272,968
273,968
273,969
273,970
275,970
275,971
275,972
277,966
277,967
277,968
278,960
278,961
278,962
278,963
278,964
278,965
278,966
278,967
278,968
279,957
279,958
279,959
279,960
279,961
279,962
279,963
279,964
279,965
279,966
279,967
280,956
280,958
280,959
280,960
280,961
280,962
280,963
281,955
281,956
281,957
281,958
281,959
282,953
282,954
282,955
282,956
283,950
283,951
283,952
283,954
283,955
284,950
284,951
284,953
284,954
285,950
285,951
285,952
285,953
286,949
286,950
286,951
287,947
287,948
287,949
287,950
288,945
288,946
288,947
288,948
288,949
288,950
289,944
289,945
289,946
289,947
289,948
289,949
299,934
299,935
300,933
300,934
300,935
300,937
300,939
301,932
301,933
301,934
301,935
301,936
302,926
302,929
302,933
303,930
304,925
304,927
304,931
305,924
305,926
305,928
310,905
310,906
312,442
312,902
312,903
312,904
313,446
313,900
313,901
313,902
313,903
313,904
314,456
314,459
314,896
314,897
314,898
314,899
314,902
314,903
314,904
315,453
315,454
315,455
315,456
315,457
315,458
315,477
315,478
315,479
315,480
315,903
315,904
316,477
316,478
316,481
316,482
316,483
316,881
316,890
316,891
316,902
316,903
317,459
317,479
317,480
317,485
317,486
317,874
317,875
317,876
317,877
317,878
317,894
317,899
317,900
317,901
317,902
317,903
318,458
318,459
318,482
318,483
318,486
318,487
318,874
318,880
318,881
318,882
318,885
318,892
318,897
318,898
318,899
318,900
319,485
319,486
319,487
319,488
319,489
319,490
319,491
319,492
319,870
319,871
319,872
319,874
319,875
319,876
319,877
319,878
320,487
320,488
320,489
320,490
320,491
320,492
320,502
320,503
320,864
320,865
320,867
320,873
321,496
321,497
321,498
321,499
321,500
321,502
321,503
321,504
321,506
321,508
321,509
321,861
321,862
321,867
321,871
322,505
322,509
322,512
322,513
322,514
322,515
322,516
322,859
322,864
322,865
323,517
323,518
323,519
324,518
326,832
327,583
327,827
327,828
327,829
328,554
328,597
328,598
328,599
329,553
329,554
329,595
329,596
329,605
329,606
329,616
329,617
329,821
329,823
330,583
330,584
330,594
330,595
330,596
330,603
330,604
330,605
330,606
330,616
330,617
330,618
330,821
330,822
330,823
331,583
331,595
331,607
331,608
331,609
331,610
331,611
331,612
331,613
331,614
331,615
331,616
331,617
331,618
331,619
331,620
331,621
331,622
331,819
331,820
331,821
331,822
332,583
332,584
332,592
332,594
332,595
332,611
332,612
332,620
332,621
332,622
332,623
332,624
332,627
332,628
332,629
332,630
332,634
332,635
332,636
332,637
332,818
332,819
333,629
333,630
333,816
333,818
334,632
334,633
334,634
334,637
334,638
334,640
334,641
334,642
334,643
334,644
334,645
334,646
334,647
334,652
334,653
334,654
334,815
334,817
334,818
335,602
335,603
335,607
335,608
335,641
335,642
335,643
335,644
335,645
335,654
335,814
335,815
335,816
336,602
336,603
336,607
336,608
336,811
336,812
336,813
336,814
336,815
337,607
337,608
337,609
337,811
337,812
337,813
337,814
342,803
342,806
343,807
343,808
344,804
344,805
344,806
344,807
347,798
349,798
349,799
349,802
349,804
350,802
350,803
350,804
354,729
354,731
354,732
355,731
355,732
355,753
355,756
356,754
357,759
357,761
357,779
357,780
357,781
357,782
358,762
358,766
358,767
358,770
358,771
358,772
358,773
358,778
358,780
358,781
358,782
359,763
359,764
359,765
359,766
359,768
359,770
359,772
359,773
359,774
359,775
359,777
359,778
359,779
359,780
360,772
360,773
360,778
361,762
