y,x
306,1122
306,1123
342,999
342,1003
342,1004
342,1006
342,1007
343,982
343,983
343,984
343,985
343,986
343,987
343,988
343,998
343,1000
343,1002
343,1006
344,975
344,976
344,977
344,978
344,979
344,980
344,981
344,982
344,983
344,984
344,985
344,986
344,987
344,988
344,989
344,990
344,991
344,992
344,993
344,994
344,995
344,996
344,997
345,943
345,944
345,945
345,961
345,962
345,963
345,964
345,965
345,966
345,967
345,968
345,969
345,970
345,971
345,972
345,973
345,974
345,975
345,976
345,977
345,978
345,979
345,980
345,981
345,982
345,983
345,984
345,985
345,986
345,987
346,940
346,941
346,942
346,943
346,944
346,945
346,946
346,947
346,948
346,949
346,950
346,951
346,952
346,953
346,954
346,955
346,956
346,957
346,958
346,959
346,960
346,961
346,962
346,963
346,964
346,965
346,966
346,967
346,968
346,969
346,970
346,971
346,972
346,973
346,974
346,975
346,976
346,977
346,978
346,979
346,980
346,981
347,946
347,947
347,948
347,949
347,950
347,951
347,952
347,953
347,954
347,955
347,956
347,957
347,958
347,960
347,961
367,902
367,903
398,761
399,729
399,746
399,747
399,748
399,749
399,750
399,751
399,752
399,753
399,754
399,755
399,756
399,757
399,758
399,759
399,760
399,761
399,762
399,763
399,764
400,727
400,728
400,729
400,730
400,731
400,732
400,733
400,734
400,735
400,736
400,737
400,738
400,739
400,740
400,741
400,742
400,743
400,744
400,745
400,746
400,747
400,748
400,749
400,750
400,751
400,752
400,753
400,754
400,755
400,756
400,757
400,758
400,759
400,760
400,761
401,726
401,727
401,728
401,729
401,730
401,731
401,732
401,733
401,734
401,735
401,736
401,737
401,738
401,739
401,740
401,745
401,746
401,747
401,748
401,749
401,750
401,751
401,752
401,753
401,754
401,755
401,756
401,757
401,758
402,726
402,727
402,728
402,729
402,730
402,731
402,732
402,748
420,652
420,653
420,654
420,659
421,649
421,651
422,647
422,648
422,649
422,650
423,643
423,644
423,645
423,646
423,647
424,555
424,558
424,559
424,560
424,561
424,562
424,637
424,640
424,641
424,642
424,643
424,644
424,645
424,646
425,556
425,557
425,558
425,559
425,562
425,563
425,564
425,565
425,566
425,567
425,621
425,622
425,623
425,624
425,635
425,636
425,637
425,638
426,558
426,560
426,561
426,562
426,563
426,564
426,565
426,566
426,567
426,573
426,574
426,575
426,577
426,578
426,620
426,621
426,622
426,623
426,624
426,625
426,626
426,627
426,628
426,629
426,630
426,631
426,632
426,633
426,634
426,635
426,636
427,569
427,570
427,571
427,572
427,573
427,574
427,575
427,576
427,577
427,578
427,579
427,580
427,613
427,616
428,570
428,571
428,572
428,573
428,579
428,580
428,581
428,582
428,583
428,584
428,585
428,614
428,615
429,590
429,591
429,610
429,611
429,612
430,589
430,592
430,593
430,594
430,595
430,596
430,597
430,604
430,605
430,607
430,608
430,609
430,610
431,575
431,576
431,588
431,589
431,590
431,591
431,592
431,593
431,594
431,595
431,596
431,597
431,598
431,604
431,605
431,606
431,607
432,284
432,285
432,286
432,298
432,573
432,574
432,575
432,576
432,577
432,578
432,580
432,581
432,587
432,588
432,589
432,590
432,591
432,594
432,595
432,596
432,597
432,598
432,599
432,600
432,603
432,604
432,605
433,283
433,284
433,285
433,286
433,287
433,290
433,291
433,292
433,293
433,294
433,579
433,581
433,584
433,587
433,596
433,597
433,598
433,599
433,600
433,601
433,602
433,603
434,582
434,599
434,600
434,601
434,602
434,603
435,280
436,276
436,277
436,278
436,279
437,260
437,266
437,267
437,268
437,269
437,272
437,273
437,274
437,275
437,276
437,277
437,278
438,254
438,255
438,256
438,257
438,258
438,259
438,260
438,261
438,262
438,263
438,264
438,265
438,266
438,267
438,268
438,269
439,250
439,251
439,252
439,254
439,255
439,256
439,257
439,258
439,259
439,260
439,261
439,262
439,263
439,264
440,250
440,251
440,252
440,253
440,256
442,259
442,261
442,262
442,263
443,109
443,110
443,111
443,112
443,113
443,114
443,253
444,109
444,110
444,111
444,112
444,113
444,114
444,115
444,116
444,117
444,118
444,119
444,122
444,123
444,124
444,125
444,236
444,237
445,115
445,116
445,117
445,118
445,119
445,120
445,121
445,122
445,123
445,124
445,125
445,235
445,237
446,120
446,123
446,124
446,125
446,126
446,127
446,128
446,129
446,130
446,131
446,132
446,133
446,142
446,233
446,236
446,237
447,125
447,126
447,127
447,128
447,129
447,130
447,136
447,137
447,138
447,139
447,140
447,141
447,142
448,131
448,133
448,134
448,135
448,136
451,203
452,202
452,203
452,204
452,205
452,206
452,207
452,208
452,209
452,212
453,203
453,204
453,205
453,206
453,207
453,208
453,209
453,210
453,211
453,212
453,213
453,214
454,213
454,214
454,217
454,218
457,222
