y,x
105,680
108,680
109,680
110,680
110,681
111,681
112,681
158,687
159,687
161,687
179,561
185,690
188,560
188,561
189,560
189,561
189,562
189,692
190,560
190,561
190,562
190,692
191,560
191,561
191,562
192,559
192,560
192,561
192,562
192,691
193,559
193,560
193,561
193,562
194,559
194,560
194,561
194,562
194,563
194,693
195,559
195,560
195,561
195,562
195,563
196,559
196,560
196,561
196,562
197,559
197,560
197,561
197,562
197,563
198,559
198,560
198,561
198,562
198,563
199,559
199,560
199,561
199,562
200,559
200,560
200,561
200,562
201,559
201,560
201,561
201,562
202,559
202,560
202,561
202,562
202,563
203,559
203,560
203,561
203,562
203,563
204,559
204,560
204,561
204,562
204,563
205,559
205,560
205,561
205,562
205,563
206,559
206,560
206,561
206,562
206,563
207,559
207,560
207,561
207,562
207,563
208,559
208,560
208,561
208,562
208,563
209,559
209,560
209,561
209,562
209,563
209,564
210,559
210,560
210,561
210,562
210,563
210,564
211,559
211,560
211,561
211,562
211,563
211,564
212,560
212,561
212,562
212,563
212,564
213,560
213,561
213,562
213,563
213,564
214,561
214,562
214,563
214,564
215,562
215,563
215,564
215,565
216,562
216,563
216,564
216,565
217,562
217,563
217,564
217,565
217,566
218,562
218,563
218,564
218,565
218,566
219,563
219,564
219,565
219,566
220,563
220,564
220,565
220,566
221,563
221,564
221,565
221,566
221,567
222,563
222,564
222,565
222,566
222,567
223,563
223,564
223,565
223,566
223,567
224,564
224,565
224,566
224,567
225,564
225,565
225,566
225,567
225,568
226,564
226,565
226,566
226,567
226,568
227,564
227,565
227,566
227,567
227,568
228,564
228,565
228,566
228,567
228,568
228,569
229,565
229,566
229,567
229,568
229,569
230,565
230,566
230,567
230,568
230,569
231,566
231,567
231,568
231,569
231,570
232,566
232,567
232,568
232,569
232,570
233,567
233,568
233,569
233,570
234,567
234,568
234,569
234,570
234,571
235,567
235,568
235,569
235,570
235,571
236,568
236,569
236,570
236,571
236,572
237,568
237,569
237,570
237,571
237,572
238,568
238,569
238,570
238,571
238,572
239,568
239,569
239,570
239,571
239,572
239,573
240,569
240,570
240,571
240,572
240,573
241,569
241,570
241,571
241,572
241,573
242,569
242,570
242,571
242,572
242,573
242,574
243,570
243,571
243,572
243,573
243,574
244,570
244,571
244,572
244,573
244,574
244,575
245,570
245,571
245,572
245,573
245,574
245,575
246,570
246,571
246,572
246,573
246,574
246,575
247,571
247,572
247,573
247,574
247,575
247,576
248,572
248,573
248,574
248,575
248,576
249,572
249,573
249,574
249,575
249,576
249,577
250,572
250,573
250,574
250,575
250,576
250,577
250,578
251,573
251,574
251,575
251,576
251,577
251,578
251,579
252,574
252,575
252,576
252,577
252,578
252,579
253,574
253,575
253,576
253,577
253,578
253,579
253,580
254,574
254,575
254,576
254,577
254,578
254,579
254,580
255,576
255,577
255,578
255,579
255,580
255,581
256,577
256,578
256,579
256,580
256,581
332,584
333,585
334,585
334,586
335,586
336,586
336,587
372,585
374,585
376,584
383,583
384,583
392,583
393,583
394,583
395,583
396,583
397,583
397,584
398,583
400,583
400,584
401,584
402,584
403,584
405,584
406,584
407,584
408,584
408,585
409,584
409,585
410,584
410,585
411,585
412,585
413,585
414,585
414,586
416,586
474,601
474,602
479,603
480,603
481,603
484,604
485,604
486,604
489,604
490,604
539,613
539,614
540,614
545,616
549,619
550,619
555,620
556,620
556,621
557,621
558,621
559,621
559,622
560,621
560,622
561,621
564,621
566,621
568,620
569,620
570,620
571,620
785,641
785,642
786,639
786,640
786,641
787,638
787,639
787,640
787,641
788,638
788,639
789,640
789,641
790,638
790,639
790,641
790,642
791,638
791,639
791,640
791,641
791,642
792,638
792,639
792,640
792,641
792,642
793,638
793,639
793,640
793,641
793,642
793,643
794,638
794,639
794,640
794,641
794,642
794,643
795,638
795,639
795,640
795,641
795,642
795,643
796,638
796,639
796,640
796,641
796,642
796,643
797,640
797,641
797,642
797,643
797,785
797,786
798,640
798,641
798,642
798,643
798,785
798,786
799,639
799,640
799,641
799,642
799,643
799,785
800,639
800,640
800,641
800,642
800,643
801,639
801,640
801,641
801,642
801,643
802,639
802,640
802,641
802,642
802,643
803,640
803,641
803,642
803,643
804,643
805,640
805,642
806,640
806,641
807,640
807,641
807,642
807,643
808,641
808,642
808,643
808,644
809,640
809,641
809,642
809,643
809,787
810,643
810,787
811,642
811,643
812,641
812,642
812,643
815,641
815,642
816,642
816,643
817,642
817,643
820,642
820,643
824,642
825,642
827,642
829,790
829,791
830,643
830,644
830,789
830,790
830,791
831,643
831,644
831,791
831,792
832,643
832,644
832,791
832,792
833,643
833,644
834,643
836,792
837,791
838,791
