y,x
213,500
214,500
217,498
244,494
249,494
249,495
250,494
251,493
251,494
252,494
253,494
254,494
255,494
256,494
257,492
257,494
258,492
261,492
266,492
267,490
397,476
398,476
403,476
403,479
404,476
404,479
405,476
447,485
448,485
455,486
468,489
468,490
469,490
472,492
473,492
474,492
485,498
604,521
609,523
610,523
610,524
611,522
613,522
613,523
617,522
618,523
619,523
620,524
622,522
622,523
628,524
631,525
633,523
634,522
634,524
668,508
670,507
671,506
674,504
674,507
675,504
679,501
679,503
680,503
681,503
683,502
683,505
684,502
684,503
685,502
685,503
686,502
686,503
687,502
687,503
688,503
689,502
689,503
690,502
691,499
697,499
698,499
699,498
700,498
701,497
701,498
702,497
717,495
718,495
720,490
721,489
721,490
721,491
727,490
728,489
728,490
728,491
729,489
732,488
734,488
735,488
735,490
736,488
737,487
739,487
740,489
741,487
741,489
742,487
747,483
751,482
751,489
752,489
753,483
753,485
753,488
753,489
754,483
754,484
755,485
756,484
765,480
766,480
766,482
767,480
767,481
768,479
768,480
768,481
769,479
770,479
771,479
774,479
774,486
774,487
775,478
775,485
776,484
776,485
776,486
777,484
777,485
777,487
777,488
778,485
778,486
779,481
779,482
779,484
779,485
780,480
780,481
780,482
780,483
780,484
781,479
781,480
781,481
781,482
781,483
781,484
782,479
782,480
782,481
782,482
782,483
783,479
783,480
783,482
783,483
784,479
784,480
784,481
784,483
785,484
787,483
788,480
788,481
790,479
791,485
792,484
792,485
793,483
793,484
794,482
794,483
794,484
795,480
795,481
795,482
795,483
795,484
801,482
805,482
814,484
814,485
815,484
816,484
817,483
817,484
817,485
818,483
818,484
818,485
819,483
819,484
820,483
820,484
821,483
821,484
822,483
823,481
823,483
824,483
827,483
827,484
827,485
827,486
827,487
828,480
828,484
828,485
828,486
828,487
829,481
829,485
829,486
829,487
830,485
830,486
830,487
831,481
831,485
831,486
831,487
832,484
832,485
832,486
832,487
833,482
833,483
833,484
833,485
833,486
833,487
834,482
834,483
834,484
834,486
835,482
835,483
836,482
836,483
837,482
