y,x
219,913
247,917
253,910
270,309
270,310
270,325
270,326
270,327
270,328
270,329
270,330
271,330
278,299
279,299
279,300
286,281
286,282
299,253
300,253
301,558
301,559
301,899
302,233
302,246
302,247
302,556
302,557
302,899
302,900
303,553
303,554
303,555
304,553
304,554
304,568
305,217
305,218
305,552
305,553
305,554
305,568
306,213
306,214
306,215
306,216
306,217
306,218
306,219
306,552
306,553
306,904
306,905
307,905
307,906
307,907
313,200
313,201
313,202
313,203
314,202
314,203
321,602
321,603
322,603
329,185
329,186
329,187
331,888
333,173
333,174
334,174
334,175
337,609
338,609
338,610
339,610
339,611
340,612
341,613
342,614
342,615
343,616
343,617
344,617
344,618
345,619
346,620
346,874
346,875
346,883
347,883
353,73
353,74
353,105
353,108
353,878
354,83
355,109
355,110
355,877
363,872
365,869
365,870
366,867
366,868
366,869
366,870
367,868
367,869
367,870
368,867
368,868
368,869
368,870
374,867
375,866
375,867
376,864
376,865
376,866
377,864
377,865
377,866
378,622
378,864
378,865
378,866
379,866
379,867
390,859
391,858
391,859
392,857
392,858
392,859
396,852
397,851
398,856
398,857
399,855
399,856
399,857
400,854
400,855
400,856
401,853
401,855
402,853
403,851
404,851
405,850
405,851
424,661
425,661
430,823
434,665
434,666
435,665
435,666
435,667
436,667
436,668
437,668
437,819
437,820
438,819
440,806
440,807
440,808
440,809
440,818
441,805
441,806
441,807
441,808
441,809
441,810
441,811
442,803
442,804
442,805
442,806
442,807
442,808
442,809
442,810
442,811
443,800
443,801
443,802
443,803
443,804
443,805
443,806
443,807
443,808
443,809
443,810
443,811
444,800
444,801
444,802
444,803
444,804
444,805
444,806
444,807
444,808
444,809
444,810
444,811
445,806
445,807
445,808
445,809
445,810
445,811
445,812
445,814
446,810
446,811
446,812
446,813
446,826
446,827
447,826
447,827
447,828
448,827
448,828
449,801
449,802
449,803
449,804
450,802
450,803
450,804
453,805
453,806
453,807
455,852
455,853
458,773
458,774
458,775
458,776
459,774
459,775
459,776
459,777
460,776
460,777
463,752
463,753
464,754
464,755
465,753
465,754
467,907
467,908
467,909
468,907
468,908
468,909
468,910
468,925
469,756
469,757
469,758
469,759
469,908
469,909
469,910
469,911
469,927
470,756
470,757
470,758
470,759
470,760
470,910
470,911
470,928
470,929
471,759
471,760
471,761
471,930
472,760
472,761
472,929
472,931
473,743
473,744
473,746
473,762
473,930
473,932
473,934
473,935
474,762
474,930
474,936
475,931
475,936
477,923
477,924
484,699
484,700
485,699
485,700
485,701
485,974
486,700
496,691
497,687
498,686
498,687
498,688
498,689
499,686
499,687
499,688
499,689
500,688
504,690
505,690
505,691
505,692
506,691
506,692
510,683
510,684
510,685
510,686
532,1054
532,1055
532,1056
532,1057
532,1058
533,1055
533,1056
533,1057
533,1058
533,1059
533,1060
533,1061
533,1062
534,1056
534,1057
534,1058
534,1059
534,1060
534,1061
534,1062
534,1063
535,675
535,1062
535,1063
535,1064
535,1065
535,1066
535,1067
536,1065
536,1066
536,1067
536,1068
536,1069
537,1068
537,1069
537,1070
538,1069
538,1070
539,1063
540,1063
540,1064
541,1064
541,1065
541,1066
541,1067
541,1068
542,1065
542,1066
542,1067
542,1068
542,1069
542,1070
543,1067
543,1068
543,1069
543,1070
561,666
561,667
561,668
561,669
562,665
562,666
562,667
562,668
562,669
563,665
563,666
563,667
563,668
564,665
564,666
564,667
564,668
565,663
565,665
565,666
565,667
565,668
565,669
566,664
566,665
566,666
566,667
566,668
567,665
567,666
567,667
568,665
568,666
568,667
568,668
569,665
569,666
569,667
569,668
569,669
569,670
570,665
570,666
570,667
570,668
570,670
570,671
571,664
571,665
572,664
573,651
573,652
573,653
573,654
573,663
573,664
574,651
574,652
574,653
574,654
574,660
574,663
574,664
576,648
577,647
577,649
578,647
578,648
579,634
579,635
579,636
579,637
579,638
579,642
579,643
583,609
583,610
583,611
583,613
583,614
583,615
584,599
584,600
584,601
584,607
584,610
585,593
585,594
585,595
585,596
585,597
585,598
585,599
585,600
585,601
585,602
585,603
586,602
592,593
593,593
593,594
599,542
600,563
601,564
602,528
602,529
602,530
602,532
603,519
603,521
603,528
603,529
603,530
603,531
603,532
604,514
604,522
604,536
604,537
604,538
605,511
605,512
605,513
605,514
605,515
605,538
606,511
606,512
606,513
608,502
608,503
608,504
608,505
609,503
609,504
609,505
681,407
713,368
713,369
713,370
714,369
714,370
721,327
721,328
856,701
856,702
857,701
857,703
858,701
859,702
859,704
861,704
861,705
872,708
873,708
885,713
